paciente_id,sucursal,especie,raza_registrada,edad_mascota_anios,tipo_atencion,diagnostico_texto,medico_id,monto_cobrado,costo_medicamento,dias_desde_ultima_visita,visitas_historicas,tiene_vacunas_al_dia,retorno_90d
PAC_00419,Providencia,gato,0,4.7,consulta_general,Control_rutina,VET_10,38900,3500.0,462,3,0,0
PAC_00001,Ñuñoa,perro,0,0.6,hospitalización,Tumor,VET_11,234200,34600.0,112,2,0,0
PAC_00002,Peñalolén,gato,0,1.1,hospitalización,Control_rutina,VET_13,147800,31100.0,42,4,0,1
PAC_00003,Las_Condes,perro,1,5.9,consulta_especialidad,CONTROL_RUTINA,VET_03,82600,24700.0,187,5,1,0
PAC_00024,Ñuñoa,perro,1,0.9,consulta_general,dermatitis,VET_02,36300,5800.0,111,7,1,1
PAC_00005,Peñalolén,perro,1,5.1,consulta_general,Fractura,VET_04,39900,4800.0,112,4,0,0
PAC_00006,Providencia,perro,0,0.4,cirugía,ARTRITIS,VET_03,343100,74800.0,8,4,0,1
PAC_00007,San_Miguel,perro,0,2.6,consulta_especialidad,artrítís,VET_01,55800,17600.0,9,7,0,1
PAC_00008,La_Florida,ave,1,3.0,consulta_especialidad,Esterilización,VET_13,70100,7500.0,1,5,0,1
PAC_00009,Pudahuel,perro,0,8.4,cirugía,tumor_c,VET_01,325500,95100.0,205,3,1,0
PAC_00010,Providencia,gato,1,0.5,hospitalización,artritis_c,VET_13,211300,58500.0,56,4,1,1
PAC_00011,Ñuñoa,perro,1,11.7,consulta_general,Gastroenteritis,VET_22,31600,7500.0,140,3,1,0
PAC_00012,Providencia,gato,1,11.0,consulta_general,esterilización,VET_18,47100,7700.0,10,7,1,1
PAC_00013,San_Miguel,gato,0,1.8,consulta_especialidad,ESTERILIZACIÓN,VET_21,72100,8500.0,53,6,0,0
PAC_00014,Las_Condes,gato,0,2.2,venta_producto,tumor,VET_07,24200,5000.0,88,3,1,0
PAC_00015,Ñuñoa,perro,0,17.7,consulta_general,gastroenteritis,VET_14,31700,4900.0,40,2,1,1
PAC_00016,La_Florida,perro,0,5.6,venta_producto,dermatítís,VET_05,25400,2300.0,60,2,1,1
PAC_00017,Ñuñoa,perro,1,8.9,consulta_general,esterilización,VET_14,42100,9300.0,10,4,1,1
PAC_00018,Maipú,perro,1,3.2,consulta_general,fractura_c,VET_11,41100,4200.0,83,4,1,1
PAC_00019,Peñalolén,gato,1,2.6,consulta_especialidad,tumor,VET_06,55200,17100.0,156,9,0,1
PAC_00020,Las_Condes,perro,1,2.6,consulta_general,control_rutína,VET_23,37500,12200.0,128,2,1,0
PAC_00021,Las_Condes,perro,1,5.2,venta_producto,fractura_c,VET_04,40300,13000.0,22,7,0,1
PAC_00022,Providencia,exótico,0,3.4,hospitalización,DERMATITIS,VET_20,201100,36300.0,373,4,1,0
PAC_00023,Maipú,ave,1,7.4,consulta_especialidad,control_rutina,VET_08,70500,13200.0,47,2,1,1
PAC_00024,Providencia,ave,0,5.1,consulta_general,Otitis,VET_14,37100,5900.0,10,3,1,1
PAC_00025,Peñalolén,exótico,1,8.9,consulta_general,esterílízacíón,VET_12,31500,4700.0,58,2,0,0
PAC_00026,Las_Condes,perro,1,3.7,venta_producto,otitis_c,VET_06,14300,3000.0,71,4,0,0
PAC_00027,Las_Condes,perro,1,0.6,consulta_general,control_rutina,VET_13,23400,7500.0,118,4,1,1
PAC_00028,Ñuñoa,perro,0,6.2,consulta_especialidad,fractura,VET_03,52600,7400.0,1,6,1,1
PAC_00029,Maipú,perro,1,7.7,consulta_especialidad,control_rutina_c,VET_04,53900,16300.0,64,5,0,1
PAC_00030,San_Miguel,perro,1,5.3,hospitalización,esterilización_c,VET_17,194300,54800.0,77,5,1,0
PAC_01383,Maipú,perro,1,4.2,consulta_general,GASTROENTERITIS,VET_16,34200,10000.0,6,2,1,1
PAC_00032,La_Florida,perro,1,3.0,consulta_especialidad,control_rutina,VET_04,46100,9200.0,74,1,0,0
PAC_00033,Ñuñoa,perro,1,10.0,consulta_especialidad,CONTROL_RUTINA,VET_23,67700,13500.0,64,2,1,0
PAC_00034,Providencia,perro,1,4.8,venta_producto,gastroenteritis,VET_09,27400,7200.0,161,1,0,0
PAC_00035,La_Florida,perro,1,1.3,consulta_general,gastroenterítís,VET_07,27300,8100.0,8,2,1,1
PAC_00036,La_Florida,exótico,1,0.5,consulta_general,GASTROENTERITIS,VET_20,24500,2400.0,16,6,1,1
PAC_00037,La_Florida,perro,1,1.2,consulta_especialidad,Dermatitis,VET_15,51800,11500.0,52,1,1,1
PAC_00471,Providencia,gato,1,2.2,consulta_especialidad,Diabetes,VET_01,34200,6300.0,8,4,0,1
PAC_00039,Ñuñoa,exótico,1,1.9,consulta_general,ESTERILIZACIÓN,VET_13,29600,3300.0,9,5,1,1
PAC_00040,Peñalolén,perro,1,0.4,cirugía,Otitis,VET_22,152300,29200.0,3,4,1,1
PAC_00041,Providencia,gato,0,0.4,consulta_general,control_rutína,VET_13,39500,6700.0,62,2,1,1
PAC_00042,Las_Condes,ave,1,4.2,consulta_especialidad,DERMATITIS,VET_12,61300,20400.0,15,5,0,1
PAC_00043,Providencia,gato,1,2.8,consulta_general,control_rutina,VET_03,29200,4000.0,2,2,0,1
PAC_00044,Providencia,perro,1,3.0,venta_producto,gastroenteritis_c,VET_19,32500,10200.0,5,3,1,1
PAC_00045,Providencia,perro,1,10.8,consulta_general,gastroenteritis,VET_19,29800,8400.0,33,7,0,1
PAC_00046,Maipú,ave,1,2.2,consulta_general,gastroenteritis,VET_21,44100,3700.0,373,3,1,0
PAC_00047,Pudahuel,gato,0,0.7,consulta_especialidad,CONTROL_RUTINA,VET_11,31100,7200.0,119,8,1,1
PAC_01078,San_Miguel,gato,1,0.3,consulta_general,CONTROL_RUTINA,VET_17,22100,5700.0,28,8,0,1
PAC_00049,Las_Condes,gato,1,8.1,consulta_general,esterilización,VET_05,26700,6700.0,38,4,1,1
PAC_00050,Las_Condes,perro,1,1.4,cirugía,esterilización_c,VET_08,226000,74900.0,28,5,0,1
PAC_00051,Peñalolén,perro,1,5.7,consulta_general,control_rutina_c,VET_01,28100,8200.0,6,7,0,1
PAC_00052,Las_Condes,perro,1,0.5,consulta_general,esterílízacíón,VET_01,30500,4600.0,26,3,1,1
PAC_00053,Ñuñoa,perro,1,12.2,cirugía,CONTROL_RUTINA,VET_03,309600,76700.0,0,8,0,1
PAC_00054,Las_Condes,perro,1,2.4,consulta_especialidad,Gastroenteritis,VET_22,43200,6300.0,85,8,1,1
PAC_01384,Maipú,gato,1,2.2,consulta_general,tumor_c,VET_17,43700,9600.0,38,4,1,0
PAC_01146,Peñalolén,ave,1,1.9,consulta_especialidad,Dermatitis,VET_11,62300,15300.0,207,5,0,0
PAC_00057,Ñuñoa,perro,0,17.8,consulta_general,CONTROL_RUTINA,VET_01,45400,5400.0,63,2,0,0
PAC_00058,Ñuñoa,gato,1,2.9,cirugía,Esterilización,VET_15,253300,58900.0,30,1,0,0
PAC_00059,Maipú,perro,1,5.7,consulta_especialidad,Fractura,VET_10,37300,10100.0,273,5,1,0
PAC_00286,Maipú,gato,0,0.6,consulta_especialidad,parvovirus,VET_22,46600,11100.0,63,3,1,0
PAC_00061,La_Florida,ave,1,11.6,cirugía,dermatitis,VET_09,268800,24700.0,18,1,1,1
PAC_00062,La_Florida,perro,0,1.1,cirugía,esterílízacíón,VET_15,130400,41600.0,81,7,0,1
PAC_00063,Las_Condes,perro,1,5.7,consulta_especialidad,gastroenteritis_c,VET_21,77000,10200.0,48,5,1,1
PAC_00064,Peñalolén,gato,1,8.1,consulta_especialidad,control_rutina_c,VET_16,63300,21300.0,11,6,1,1
PAC_00065,Maipú,gato,1,3.4,consulta_general,gastroenteritis,VET_20,32300,3100.0,37,2,0,1
PAC_00066,Providencia,gato,0,7.9,consulta_especialidad,esterilización_c,VET_21,70900,8200.0,299,6,0,0
